#121 1000 0.1 1 1
1	1.05228	1.1041	1.155	1.20453	1.25228	1.29786	1.34091	1.38112	1.41822	1.452	1.4823	1.50902	1.5321	1.55155	1.56746	1.57994	1.58918	1.59541	1.59891	1.6	1.59904	1.5964	1.59251	1.58779	1.58266	1.57756	1.57291	1.56913	1.5666	1.56569	1.5667	1.56994	1.57563	1.58396	1.59506	1.60902	1.62584	1.64549	1.66786	1.69282	1.72015	1.74959	1.78083	1.81355	1.84734	1.88182	1.91654	1.95106	1.98493	2.01769	2.04891	2.07815	2.10501	2.12911	2.15012	2.16773	2.18169	2.19181	2.19795	2.2	2.19795	2.19181	2.18169	2.16773	2.15012	2.12911	2.10501	2.07815	2.04891	2.01769	1.98492	1.95106	1.91654	1.88182	1.84734	1.81355	1.78083	1.74959	1.72015	1.69282	1.66786	1.64549	1.62584	1.60902	1.59506	1.58396	1.57563	1.56994	1.5667	1.56569	1.5666	1.56913	1.57291	1.57756	1.58266	1.58779	1.59251	1.5964	1.59904	1.6	1.59891	1.59541	1.58918	1.57994	1.56746	1.55155	1.5321	1.50902	1.4823	1.452	1.41822	1.38112	1.34091	1.29786	1.25228	1.20453	1.155	1.1041	1.05228	1
1	1.05182	1.10319	1.15365	1.20277	1.25014	1.29537	1.33811	1.37806	1.41495	1.44858	1.47877	1.50544	1.52853	1.54806	1.56409	1.57675	1.58622	1.59272	1.59654	1.59797	1.59739	1.59516	1.59168	1.58738	1.58268	1.578	1.57375	1.57035	1.56818	1.56758	1.56888	1.57234	1.57822	1.58668	1.59786	1.61183	1.62861	1.64816	1.67039	1.69514	1.72221	1.75135	1.78226	1.8146	1.848	1.88205	1.91633	1.95041	1.98383	2.01616	2.04695	2.0758	2.10229	2.12605	2.14677	2.16413	2.1779	2.18788	2.19393	2.19595	2.19393	2.18788	2.1779	2.16413	2.14677	2.12605	2.10229	2.07579	2.04695	2.01616	1.98383	1.9504	1.91633	1.88205	1.848	1.8146	1.78226	1.75135	1.72221	1.69514	1.67039	1.64816	1.62861	1.61183	1.59786	1.58668	1.57822	1.57234	1.56888	1.56758	1.56818	1.57035	1.57375	1.578	1.58268	1.58738	1.59168	1.59516	1.59739	1.59798	1.59654	1.59272	1.58622	1.57675	1.56409	1.54806	1.52853	1.50544	1.47877	1.44858	1.41495	1.37806	1.33811	1.29537	1.25014	1.20277	1.15365	1.10319	1.05182	1
1	1.05137	1.1023	1.15233	1.20105	1.24804	1.29292	1.33536	1.37505	1.41174	1.4452	1.4753	1.50192	1.52502	1.54462	1.56077	1.57361	1.5833	1.59007	1.59419	1.59598	1.59577	1.59393	1.59086	1.58698	1.58269	1.57842	1.57457	1.57155	1.56972	1.56943	1.571	1.5747	1.58075	1.58934	1.60059	1.61458	1.63132	1.65078	1.67286	1.69741	1.72424	1.75308	1.78366	1.81563	1.84863	1.88226	1.91612	1.94975	1.98274	2.01464	2.04502	2.07347	2.0996	2.12304	2.14346	2.16059	2.17416	2.184	2.18996	2.19196	2.18996	2.184	2.17416	2.16059	2.14346	2.12304	2.0996	2.07347	2.04502	2.01464	1.98274	1.94975	1.91612	1.88226	1.84863	1.81563	1.78366	1.75308	1.72424	1.69741	1.67286	1.65078	1.63132	1.61458	1.60059	1.58934	1.58075	1.5747	1.571	1.56943	1.56972	1.57155	1.57457	1.57842	1.58269	1.58698	1.59086	1.59393	1.59577	1.59598	1.5942	1.59007	1.5833	1.57361	1.56077	1.54462	1.52502	1.50192	1.4753	1.4452	1.41174	1.37505	1.33536	1.29292	1.24804	1.20105	1.15233	1.1023	1.05138	1
1	1.05093	1.10142	1.15104	1.19935	1.24597	1.29052	1.33266	1.37209	1.40857	1.44189	1.47188	1.49846	1.52157	1.54123	1.5575	1.57051	1.58042	1.58746	1.59189	1.59401	1.59416	1.59271	1.59005	1.58658	1.5827	1.57883	1.57537	1.57272	1.57123	1.57125	1.57309	1.57701	1.58324	1.59195	1.60327	1.61728	1.63398	1.65335	1.67528	1.69964	1.72621	1.75477	1.78502	1.81663	1.84924	1.88247	1.9159	1.9491	1.98166	2.01314	2.04311	2.07118	2.09695	2.12006	2.1402	2.15709	2.17048	2.18018	2.18605	2.18802	2.18605	2.18018	2.17048	2.15709	2.1402	2.12006	2.09695	2.07118	2.04311	2.01314	1.98166	1.9491	1.91589	1.88247	1.84924	1.81663	1.78502	1.75477	1.72621	1.69964	1.67528	1.65335	1.63398	1.61728	1.60327	1.59195	1.58324	1.57701	1.57309	1.57125	1.57123	1.57272	1.57537	1.57883	1.5827	1.58658	1.59005	1.59271	1.59416	1.59401	1.59189	1.58746	1.58042	1.57051	1.5575	1.54123	1.52157	1.49846	1.47188	1.44189	1.40857	1.37209	1.33266	1.29052	1.24597	1.19935	1.15104	1.10142	1.05093	1
1	1.0505	1.10056	1.14976	1.19768	1.24393	1.28815	1.33	1.36918	1.40546	1.43862	1.46852	1.49505	1.51817	1.5379	1.55429	1.56746	1.57759	1.58489	1.58962	1.59207	1.59258	1.59151	1.58925	1.58618	1.5827	1.57923	1.57615	1.57386	1.5727	1.57303	1.57513	1.57927	1.58567	1.59451	1.6059	1.61992	1.63659	1.65586	1.67765	1.70181	1.72815	1.75642	1.78635	1.8176	1.84983	1.88266	1.91567	1.94845	1.98059	2.01165	2.04122	2.06891	2.09433	2.11713	2.13699	2.15364	2.16684	2.1764	2.1822	2.18414	2.1822	2.1764	2.16684	2.15364	2.13699	2.11713	2.09433	2.06891	2.04122	2.01165	1.98059	1.94845	1.91567	1.88266	1.84983	1.8176	1.78635	1.75642	1.72815	1.70181	1.67765	1.65586	1.63659	1.61992	1.6059	1.59451	1.58567	1.57927	1.57513	1.57303	1.57271	1.57386	1.57615	1.57923	1.5827	1.58618	1.58925	1.59151	1.59258	1.59207	1.58962	1.58489	1.57759	1.56746	1.55429	1.5379	1.51817	1.49505	1.46852	1.43862	1.40546	1.36918	1.33	1.28815	1.24393	1.19768	1.14976	1.10056	1.0505	1
1	1.05007	1.09971	1.1485	1.19604	1.24193	1.28582	1.32738	1.36632	1.40239	1.43541	1.4652	1.49169	1.51483	1.53461	1.55112	1.56446	1.5748	1.58236	1.58738	1.59015	1.59102	1.59033	1.58845	1.58577	1.5827	1.57961	1.57691	1.57497	1.57415	1.57477	1.57713	1.58148	1.58806	1.59701	1.60848	1.62251	1.63914	1.65833	1.67997	1.70394	1.73004	1.75804	1.78765	1.81855	1.85041	1.88283	1.91543	1.9478	1.97952	2.01017	2.03936	2.06667	2.09174	2.11423	2.13382	2.15024	2.16325	2.17269	2.1784	2.18031	2.1784	2.17269	2.16325	2.15024	2.13382	2.11423	2.09174	2.06667	2.03935	2.01017	1.97952	1.9478	1.91543	1.88283	1.85041	1.81855	1.78765	1.75804	1.73004	1.70394	1.67997	1.65833	1.63914	1.62251	1.60848	1.59701	1.58805	1.58148	1.57713	1.57477	1.57415	1.57497	1.57691	1.57961	1.5827	1.58577	1.58845	1.59033	1.59102	1.59016	1.58738	1.58236	1.5748	1.56446	1.55112	1.53461	1.51483	1.49169	1.4652	1.43541	1.40239	1.36632	1.32738	1.28582	1.24193	1.19604	1.1485	1.09971	1.05007	1
1	1.04965	1.09887	1.14726	1.19442	1.23996	1.28352	1.3248	1.3635	1.39938	1.43224	1.46195	1.48839	1.51153	1.53138	1.548	1.56151	1.57206	1.57986	1.58517	1.58827	1.58948	1.58916	1.58766	1.58537	1.58268	1.57998	1.57765	1.57606	1.57556	1.57647	1.57908	1.58365	1.59039	1.59947	1.611	1.62505	1.64165	1.66074	1.68225	1.70603	1.7319	1.75962	1.78891	1.81947	1.85096	1.88299	1.91519	1.94715	1.97846	2.00871	2.03751	2.06445	2.08919	2.11137	2.13069	2.14688	2.15972	2.16902	2.17465	2.17654	2.17465	2.16902	2.15972	2.14688	2.13069	2.11137	2.08919	2.06445	2.03751	2.00871	1.97846	1.94715	1.91519	1.88299	1.85096	1.81947	1.78891	1.75961	1.73189	1.70603	1.68225	1.66074	1.64164	1.62505	1.611	1.59947	1.59039	1.58365	1.57908	1.57647	1.57556	1.57606	1.57765	1.57998	1.58268	1.58537	1.58766	1.58916	1.58948	1.58827	1.58517	1.57986	1.57206	1.56151	1.548	1.53138	1.51153	1.48839	1.46195	1.43224	1.39938	1.3635	1.3248	1.28353	1.23996	1.19442	1.14727	1.09887	1.04965	1
1	1.04923	1.09805	1.14605	1.19283	1.23802	1.28127	1.32226	1.36072	1.39641	1.42913	1.45874	1.48514	1.50829	1.5282	1.54493	1.5586	1.56935	1.5774	1.58299	1.58641	1.58796	1.588	1.58688	1.58497	1.58266	1.58034	1.57837	1.57712	1.57694	1.57814	1.581	1.58578	1.59268	1.60187	1.61347	1.62754	1.6441	1.6631	1.68447	1.70807	1.73371	1.76116	1.79015	1.82037	1.85149	1.88314	1.91495	1.9465	1.97741	2.00727	2.03568	2.06227	2.08667	2.10854	2.1276	2.14357	2.15623	2.1654	2.17096	2.17282	2.17096	2.1654	2.15623	2.14357	2.1276	2.10855	2.08667	2.06227	2.03568	2.00727	1.97741	1.9465	1.91495	1.88314	1.85149	1.82037	1.79014	1.76115	1.73371	1.70807	1.68447	1.6631	1.64409	1.62754	1.61347	1.60187	1.59268	1.58578	1.581	1.57814	1.57694	1.57712	1.57837	1.58034	1.58266	1.58497	1.58688	1.588	1.58796	1.58641	1.58299	1.5774	1.56935	1.5586	1.54494	1.5282	1.50829	1.48514	1.45874	1.42913	1.39641	1.36072	1.32226	1.28127	1.23802	1.19283	1.14605	1.09805	1.04923	1
1	1.04883	1.09724	1.14485	1.19126	1.23611	1.27905	1.31977	1.35799	1.39349	1.42607	1.45558	1.48194	1.5051	1.52507	1.54191	1.55573	1.56669	1.57498	1.58085	1.58457	1.58646	1.58685	1.5861	1.58457	1.58264	1.58068	1.57907	1.57816	1.57829	1.57977	1.58287	1.58786	1.59492	1.60423	1.61589	1.62998	1.6465	1.66542	1.68665	1.71007	1.73548	1.76266	1.79135	1.82124	1.852	1.88328	1.91469	1.94585	1.97637	2.00584	2.03387	2.06011	2.08418	2.10576	2.12455	2.1403	2.15279	2.16183	2.16731	2.16915	2.16731	2.16183	2.15279	2.14031	2.12456	2.10576	2.08418	2.06011	2.03387	2.00584	1.97637	1.94585	1.91469	1.88328	1.852	1.82124	1.79135	1.76266	1.73548	1.71007	1.68665	1.66542	1.64649	1.62997	1.61589	1.60423	1.59492	1.58786	1.58287	1.57977	1.57829	1.57816	1.57907	1.58068	1.58264	1.58457	1.5861	1.58685	1.58646	1.58457	1.58085	1.57498	1.56669	1.55573	1.54191	1.52507	1.5051	1.48194	1.45558	1.42607	1.39349	1.358	1.31977	1.27905	1.23611	1.19126	1.14485	1.09724	1.04883	1
1	1.04842	1.09645	1.14367	1.18972	1.23423	1.27687	1.31731	1.35531	1.39062	1.42305	1.45248	1.47879	1.50196	1.52199	1.53894	1.55291	1.56406	1.57259	1.57873	1.58276	1.58498	1.58572	1.58533	1.58417	1.58261	1.58101	1.57975	1.57917	1.57961	1.58136	1.58471	1.5899	1.59712	1.60654	1.61826	1.63236	1.64885	1.66768	1.68879	1.71202	1.73721	1.76413	1.79252	1.82209	1.8525	1.8834	1.91443	1.94521	1.97533	2.00442	2.03209	2.05797	2.08172	2.10301	2.12155	2.13708	2.1494	2.15832	2.16372	2.16553	2.16372	2.15832	2.1494	2.13708	2.12155	2.10301	2.08172	2.05797	2.03209	2.00442	1.97533	1.94521	1.91443	1.8834	1.8525	1.82209	1.79252	1.76413	1.73721	1.71202	1.68878	1.66768	1.64885	1.63236	1.61826	1.60653	1.59712	1.58989	1.58471	1.58136	1.57961	1.57917	1.57975	1.58101	1.58261	1.58417	1.58533	1.58572	1.58498	1.58276	1.57873	1.57259	1.56406	1.55291	1.53894	1.52199	1.50196	1.47879	1.45248	1.42305	1.39062	1.35531	1.31732	1.27687	1.23423	1.18972	1.14367	1.09645	1.04842	1
