# 11 14 0.5
2.5 1 1 1 1 1 1 1 1 1 1 1 1 2
4 2.49043 1.89003 1.60769 1.45706 1.37185 1.32584 1.30844 1.31714 1.35644 1.44214 1.6173 2.0054 3
4 3.0717 2.46199 2.08368 1.8487 1.70451 1.62306 1.59077 1.60368 1.66647 1.79482 2.02166 2.40432 3
4 3.33438 2.80254 2.41636 2.14953 1.97443 1.87113 1.8279 1.84035 1.91093 2.04901 2.27021 2.59021 3
4 3.46327 2.99744 2.62967 2.35863 2.17256 2.05912 2.00935 2.01889 2.08789 2.22008 2.41996 2.6863 3
4 3.52126 3.09427 2.74627 2.48277 2.29806 2.18343 2.1315 2.13797 2.20167 2.32345 2.50326 2.73502 3
4 3.52749 3.1121 2.77838 2.52811 2.35347 2.24503 2.19526 2.1998 2.25737 2.36879 2.53462 2.75052 3
4 3.47662 3.04824 2.72706 2.49781 2.34269 2.24795 2.20473 2.20861 2.25921 2.35971 2.51591 2.73245 3
4 3.33075 2.87719 2.5838 2.39339 2.27154 2.19936 2.16707 2.17071 2.21116 2.29493 2.43687 2.66337 3
4 2.96918 2.54598 2.33755 2.22041 2.15071 2.11089 2.09349 2.096 2.11979 2.17199 2.27325 2.48416 3
3 2 2 2 2 2 2 2 2 2 2 2 2 2.5
