# 5 6 1.25
2.5 1 1 1 1 2
4 2.44668 1.88987 1.78234 2.04883 3
4 2.89687 2.33046 2.19067 2.41299 3
4 2.81032 2.34442 2.23689 2.41247 3
3 2 2 2 2 2.5
