# 21 26 0.25
2.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
4 2.49789 1.90296 1.62238 1.46838 1.37348 1.31002 1.26522 1.23255 1.20837 1.19053 1.17772 1.16916 1.16439 1.16324 1.16578 1.17236 1.18372 1.20117 1.22704 1.26561 1.32535 1.42462 1.60839 2.00179 3
4 3.0886 2.49156 2.11817 1.87768 1.71551 1.60136 1.51832 1.45661 1.41039 1.37602 1.3512 1.33452 1.32516 1.32279 1.32751 1.33995 1.36135 1.39392 1.44137 1.51006 1.61116 1.76475 2.00714 2.39875 3
4 3.36496 2.85652 2.48104 2.20866 2.00952 1.8616 1.75008 1.6652 1.60056 1.55194 1.51654 1.49257 1.47895 1.47524 1.48154 1.49858 1.52782 1.57178 1.63445 1.72211 1.84447 2.01607 2.25668 2.58609 3
4 3.51469 3.08854 2.74081 2.46641 2.25232 2.08545 1.95519 1.85354 1.77472 1.71465 1.67047 1.64025 1.62283 1.61767 1.62483 1.64499 1.67958 1.73092 1.80254 1.89946 2.02856 2.19837 2.4174 2.68893 3
4 3.60528 3.24214 2.92725 2.66385 2.44787 2.27271 2.13169 2.01903 1.93014 1.86148 1.81042 1.77514 1.75445 1.74778 1.75511 1.77698 1.81459 1.8698 1.94531 2.04464 2.17195 2.33144 2.52564 2.75224 3
4 3.66428 3.34748 3.06221 2.81386 2.60262 2.42583 2.27981 2.16077 2.06534 1.99069 1.9346 1.89542 1.87206 1.86391 1.87085 1.89325 1.93198 1.98838 2.06428 2.16182 2.28316 2.42981 2.60146 2.79437 3
4 3.70438 3.42128 3.16024 2.92678 2.72289 2.54819 2.40095 2.27891 2.17975 2.10134 2.04186 1.9999 1.97446 1.96494 1.97112 1.99319 2.03169 2.08747 2.16161 2.2552 2.36906 2.50318 2.65603 2.8238 3
4 3.73195 3.47301 3.23071 3.01013 2.81399 2.64307 2.49688 2.37418 2.27343 2.19305 2.13159 2.08787 2.06095 2.05026 2.0555 2.0767 2.11412 2.16821 2.23948 2.32832 2.4347 2.55782 2.69569 2.84478 3
4 3.7504 3.50811 3.27944 3.06905 2.87987 2.71324 2.56931 2.44749 2.34674 2.26584 2.20361 2.15901 2.13122 2.11964 2.12393 2.14399 2.17987 2.23176 2.29978 2.38389 2.48359 2.59771 2.72413 2.85964 3
4 3.76155 3.5296 3.30987 3.10678 2.92321 2.76069 2.61965 2.49975 2.40019 2.31995 2.25799 2.21336 2.18527 2.17315 2.1766 2.19545 2.22964 2.27917 2.34401 2.42387 2.51807 2.62531 2.74349 2.86964 3
4 3.76618 3.53886 3.32369 3.12497 2.94549 2.78666 2.64885 2.53167 2.43431 2.35578 2.29504 2.25117 2.22337 2.21107 2.21387 2.23156 2.26405 2.31129 2.37321 2.4495 2.53951 2.64196 2.75488 2.87542 3
4 3.76433 3.53596 3.32105 3.12392 2.94711 2.79163 2.65741 2.54376 2.44961 2.37381 2.31523 2.27289 2.24597 2.2339 2.23626 2.25288 2.2837 2.32874 2.38803 2.46143 2.54849 2.64816 2.75865 2.87716 3
4 3.75517 3.51962 3.30062 3.10257 2.92741 2.77532 2.64542 2.53635 2.44657 2.37463 2.31919 2.27918 2.25374 2.24227 2.24441 2.26 2.28912 2.33194 2.38874 2.45972 2.54484 2.64355 2.75438 2.87459 3
4 3.73671 3.48675 3.25923 3.05833 2.88465 2.73681 2.6126 2.50963 2.42571 2.35893 2.30773 2.2709 2.24754 2.23704 2.23908 2.25361 2.28083 2.32117 2.37526 2.44385 2.52762 2.62683 2.74074 2.8668 3
4 3.70492 3.43144 3.19121 2.98686 2.81605 2.67468 2.55853 2.46387 2.3877 2.32764 2.2819 2.24916 2.22847 2.21927 2.22127 2.23454 2.25942 2.29664 2.34729 2.41281 2.49496 2.5954 2.71494 2.85187 3
4 3.65152 3.34288 3.08734 2.88184 2.718 2.58735 2.48296 2.39963 2.33357 2.28203 2.24308 2.21535 2.19793 2.19028 2.19221 2.20383 2.22568 2.2587 2.30443 2.36514 2.44399 2.54489 2.67174 2.82575 3
4 3.55827 3.20123 2.93341 2.73515 2.58677 2.47375 2.38634 2.31813 2.26491 2.22384 2.19304 2.17124 2.15762 2.15173 2.15343 2.16292 2.18076 2.20804 2.24659 2.29935 2.37096 2.46843 2.60138 2.7794 3
4 3.38031 2.97038 2.70992 2.5386 2.42016 2.33453 2.27051 2.22166 2.18408 2.15538 2.134 2.11894 2.10958 2.10558 2.10688 2.11365 2.12639 2.14611 2.17453 2.21471 2.27207 2.3565 2.48596 2.69046 3
4 2.99259 2.59007 2.39729 2.28916 2.22076 2.1737 2.13953 2.11389 2.0944 2.0796 2.06863 2.06093 2.05617 2.05415 2.05486 2.05839 2.06507 2.07547 2.09072 2.11289 2.14612 2.19953 2.29549 2.49649 3
3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2.5
